target_vol,max_lev,vol_floor,cagr_pct,equity_dd_pct,sharpe,profit_factor,recovery_factor,trades,net_profit,years
0.1,72.0,0.03,3.5206,4.5005,1.1088,1.3533,4.173,835,2067.67,5.432
0.1,72.0,0.04,2.7539000000000002,5.1437,0.943,1.2898,2.8733,835,1590.12,5.432
0.1,72.0,0.05,2.4648,4.739,0.9497,1.2824,2.8065,835,1414.06,5.432
0.1,72.0,0.06,2.246,4.1718,0.982,1.2853,2.915,835,1282.32,5.432
0.1,72.0,0.07,2.101,3.4718,1.0345,1.2973,3.2822,835,1195.69,5.432
0.1,72.0,0.08,2.0169,2.9851,1.0575,1.303,3.6841,835,1145.69,5.432
0.1,80.0,0.05,2.4648,4.739,0.9497,1.2824,2.8065,835,1414.06,5.432
0.1,80.0,0.06,2.246,4.1718,0.982,1.2853,2.915,835,1282.32,5.432
0.1,80.0,0.07,2.101,3.4718,1.0345,1.2973,3.2822,835,1195.69,5.432
0.1,80.0,0.01,3.9047,4.4334,1.0629,1.3413,4.6427,835,2312.94,5.432
0.1,80.0,0.02,3.8757,4.4329,1.0965,1.3493,4.6493,835,2294.24,5.432
0.1,80.0,0.03,3.5206,4.5005,1.1088,1.3533,4.173,835,2067.67,5.432
0.1,80.0,0.04,2.7539000000000002,5.1437,0.943,1.2898,2.8733,835,1590.12,5.432
0.1,80.0,0.08,2.0169,2.9851,1.0575,1.303,3.6841,835,1145.69,5.432
0.15,8.0,0.01,4.9093,5.2922,1.0981,1.3556,4.8444,835,2973.55,5.432
0.15,8.0,0.02,4.8472,5.2318,1.0931,1.3533,4.7171,835,2931.94,5.432
0.15,8.0,0.03,4.6017,5.3666,1.1059,1.3617,4.5552,835,2768.25,5.432
0.15,8.0,0.04,3.8327,5.4939,1.0018,1.3226,3.7137,835,2266.61,5.432
0.15,8.0,0.05,3.1857999999999995,5.9922,0.915,1.2883,2.833,835,1857.17,5.432
