target_vol,max_lev,vol_floor,cagr_pct,equity_dd_pct,sharpe,profit_factor,recovery_factor,trades,net_profit,years
0.25,80.0,0.05,2.6505,3.5871,0.6652,1.2662,1.0861,206,398.06,1.492
0.25,80.0,0.005,3.2975999999999996,4.1739,0.6384,1.2408,1.1394,206,496.01,1.492
0.25,80.0,0.02,3.2066,4.1697,0.6455,1.2364,1.127,206,482.22,1.492
0.25,80.0,0.03,3.013,3.7217,0.6449,1.2284,1.1923,206,452.89,1.492
0.25,80.0,0.075,2.3428999999999998,3.2969,0.7626,1.3016,1.0476,206,351.6,1.492
0.25,80.0,0.045,3.0113999999999996,3.4259,0.6973,1.2846,1.2907,206,452.66,1.492
0.25,80.0,0.065,2.2918000000000003,3.8582,0.6656,1.2707,0.8743,206,343.89,1.492
0.25,80.0,0.025,3.6098,3.7524,0.7544,1.2713,1.4159,206,543.38,1.492
0.25,80.0,0.07,2.1537,3.6943,0.6572,1.2609,0.8589,206,323.05,1.492
0.25,80.0,0.06,2.3635,3.8616,0.6568,1.265,0.9004,206,354.7,1.492
0.25,80.0,0.015,3.15,4.1739,0.6079,1.2293,1.0652,206,473.65,1.492
0.25,80.0,0.04,2.5174,3.5416,0.5608,1.2114,1.046,206,377.95,1.492
0.25,80.0,0.08,2.4072,3.0797,0.8304,1.3241,1.1524,206,361.3,1.492
0.25,80.0,0.035,2.5461,3.5021,0.5563,1.2006,1.0709,206,382.28,1.492
0.25,80.0,0.055,2.4684999999999997,3.7906,0.658,1.2601,0.9583,206,370.56,1.492
0.5,16.0,0.02,4.1949,5.6692,0.5887,1.2147,1.0711,206,632.35,1.492
0.5,16.0,0.01,4.1949,5.6692,0.5887,1.2147,1.0711,206,632.35,1.492
0.5,16.0,0.025,4.1949,5.6692,0.5887,1.2147,1.0711,206,632.35,1.492
0.5,16.0,0.015,4.1949,5.6692,0.5887,1.2147,1.0711,206,632.35,1.492
0.5,16.0,0.06,3.4278999999999997,5.2155,0.5314,1.206,0.963,206,515.78,1.492
0.5,16.0,0.08,3.094,5.4161,0.569,1.2259,0.837,206,465.16,1.492
0.5,16.0,0.055,3.9210000000000003,4.8379,0.5979,1.2248,1.1925,206,590.67,1.492
0.5,16.0,0.065,3.5195999999999996,5.2068,0.5605,1.226,0.989,206,529.69,1.492
0.5,16.0,0.07,2.8527,5.4365,0.4805,1.1903,0.7671,206,428.64,1.492
0.5,16.0,0.05,4.0676,4.9886,0.6164,1.2264,1.2014,206,612.97,1.492
0.5,16.0,0.035,4.9984,5.4473,0.7035,1.2599,1.3096,206,754.93,1.492
0.5,16.0,0.045,4.1072,5.3971,0.6075,1.2188,1.1195,206,619.0,1.492
0.5,16.0,0.075,3.1481000000000003,5.301,0.558,1.2226,0.8696,206,473.36,1.492
0.5,16.0,0.04,4.6337,5.513,0.6717,1.2416,1.236,206,699.23,1.492
0.5,16.0,0.005,4.1949,5.6692,0.5887,1.2147,1.0711,206,632.35,1.492
0.5,16.0,0.03,4.1949,5.6692,0.5887,1.2147,1.0711,206,632.35,1.492
0.5,32.0,0.07,2.8527,5.4365,0.4805,1.1903,0.7671,206,428.64,1.492
0.5,32.0,0.005,4.9731,6.3877,0.6048,1.2539,1.1219,206,751.06,1.492
0.5,32.0,0.01,4.9731,6.3877,0.6048,1.2539,1.1219,206,751.06,1.492
0.5,32.0,0.02,4.5373,6.2483,0.579,1.2296,1.0513,206,684.53,1.492
0.5,32.0,0.05,4.0676,4.9886,0.6164,1.2264,1.2014,206,612.97,1.492
0.5,32.0,0.015,4.9731,6.3877,0.6048,1.2539,1.1219,206,751.06,1.492
0.5,32.0,0.025,4.0454,6.1685,0.5461,1.204,0.9543,206,609.6,1.492
0.5,32.0,0.03,4.0631,5.8564,0.5676,1.2072,1.0021,206,612.28,1.492
0.5,32.0,0.045,4.1072,5.3971,0.6075,1.2188,1.1195,206,619.0,1.492
0.5,32.0,0.055,3.9210000000000003,4.8379,0.5979,1.2248,1.1925,206,590.67,1.492
0.5,32.0,0.04,4.6337,5.513,0.6717,1.2416,1.236,206,699.23,1.492
0.5,32.0,0.08,3.094,5.4161,0.569,1.2259,0.837,206,465.16,1.492
0.5,32.0,0.06,3.4278999999999997,5.2155,0.5314,1.206,0.963,206,515.78,1.492
0.5,32.0,0.065,3.5195999999999996,5.2068,0.5605,1.226,0.989,206,529.69,1.492
0.5,32.0,0.035,4.9984,5.4473,0.7035,1.2599,1.3096,206,754.93,1.492
0.5,32.0,0.075,3.1481000000000003,5.301,0.558,1.2226,0.8696,206,473.36,1.492
0.5,48.0,0.005,4.9731,6.3877,0.6048,1.2539,1.1219,206,751.06,1.492
0.5,48.0,0.07,2.8527,5.4365,0.4805,1.1903,0.7671,206,428.64,1.492
0.5,48.0,0.025,4.0454,6.1685,0.5461,1.204,0.9543,206,609.6,1.492
0.5,48.0,0.01,4.9731,6.3877,0.6048,1.2539,1.1219,206,751.06,1.492
0.5,48.0,0.05,4.0676,4.9886,0.6164,1.2264,1.2014,206,612.97,1.492
0.5,48.0,0.02,4.5373,6.2483,0.579,1.2296,1.0513,206,684.53,1.492
0.5,48.0,0.015,4.9731,6.3877,0.6048,1.2539,1.1219,206,751.06,1.492
0.5,48.0,0.045,4.1072,5.3971,0.6075,1.2188,1.1195,206,619.0,1.492
0.5,48.0,0.08,3.094,5.4161,0.569,1.2259,0.837,206,465.16,1.492
0.5,48.0,0.03,4.0631,5.8564,0.5676,1.2072,1.0021,206,612.28,1.492
0.5,48.0,0.065,3.5195999999999996,5.2068,0.5605,1.226,0.989,206,529.69,1.492
