target_vol,max_lev,vol_floor,cagr_pct,equity_dd_pct,sharpe,profit_factor,recovery_factor,trades,net_profit,years
0.25,8.0,0.06,2.3635,3.8616,0.6568,1.265,0.9004,206,354.7,1.492
0.25,8.0,0.07,2.1537,3.6943,0.6572,1.2609,0.8589,206,323.05,1.492
0.25,8.0,0.08,2.4072,3.0797,0.8304,1.3241,1.1524,206,361.3,1.492
0.25,16.0,0.06,2.3635,3.8616,0.6568,1.265,0.9004,206,354.7,1.492
0.25,16.0,0.07,2.1537,3.6943,0.6572,1.2609,0.8589,206,323.05,1.492
0.25,16.0,0.08,2.4072,3.0797,0.8304,1.3241,1.1524,206,361.3,1.492
0.25,16.0,0.01,3.1824,4.1739,0.6123,1.2319,1.0762,206,478.55,1.492
0.25,16.0,0.02,3.2066,4.1697,0.6455,1.2364,1.127,206,482.22,1.492
0.25,16.0,0.03,3.013,3.7217,0.6449,1.2284,1.1923,206,452.89,1.492
0.25,16.0,0.04,2.5174,3.5416,0.5608,1.2114,1.046,206,377.95,1.492
0.25,16.0,0.05,2.6505,3.5871,0.6652,1.2662,1.0861,206,398.06,1.492
0.25,24.0,0.02,3.2066,4.1697,0.6455,1.2364,1.127,206,482.22,1.492
0.25,24.0,0.03,3.013,3.7217,0.6449,1.2284,1.1923,206,452.89,1.492
0.25,24.0,0.04,2.5174,3.5416,0.5608,1.2114,1.046,206,377.95,1.492
0.25,24.0,0.05,2.6505,3.5871,0.6652,1.2662,1.0861,206,398.06,1.492
0.25,24.0,0.06,2.3635,3.8616,0.6568,1.265,0.9004,206,354.7,1.492
0.25,24.0,0.07,2.1537,3.6943,0.6572,1.2609,0.8589,206,323.05,1.492
0.25,24.0,0.08,2.4072,3.0797,0.8304,1.3241,1.1524,206,361.3,1.492
0.25,24.0,0.01,3.2975999999999996,4.1739,0.6384,1.2408,1.1394,206,496.01,1.492
0.25,32.0,0.08,2.4072,3.0797,0.8304,1.3241,1.1524,206,361.3,1.492
0.25,32.0,0.01,3.2975999999999996,4.1739,0.6384,1.2408,1.1394,206,496.01,1.492
0.25,32.0,0.02,3.2066,4.1697,0.6455,1.2364,1.127,206,482.22,1.492
0.25,32.0,0.03,3.013,3.7217,0.6449,1.2284,1.1923,206,452.89,1.492
0.25,32.0,0.04,2.5174,3.5416,0.5608,1.2114,1.046,206,377.95,1.492
0.25,32.0,0.05,2.6505,3.5871,0.6652,1.2662,1.0861,206,398.06,1.492
0.25,32.0,0.06,2.3635,3.8616,0.6568,1.265,0.9004,206,354.7,1.492
0.25,32.0,0.07,2.1537,3.6943,0.6572,1.2609,0.8589,206,323.05,1.492
0.25,40.0,0.04,2.5174,3.5416,0.5608,1.2114,1.046,206,377.95,1.492
0.25,40.0,0.05,2.6505,3.5871,0.6652,1.2662,1.0861,206,398.06,1.492
0.25,40.0,0.06,2.3635,3.8616,0.6568,1.265,0.9004,206,354.7,1.492
0.25,40.0,0.07,2.1537,3.6943,0.6572,1.2609,0.8589,206,323.05,1.492
0.25,40.0,0.08,2.4072,3.0797,0.8304,1.3241,1.1524,206,361.3,1.492
0.25,40.0,0.01,3.2975999999999996,4.1739,0.6384,1.2408,1.1394,206,496.01,1.492
0.25,40.0,0.02,3.2066,4.1697,0.6455,1.2364,1.127,206,482.22,1.492
0.25,40.0,0.03,3.013,3.7217,0.6449,1.2284,1.1923,206,452.89,1.492
0.25,48.0,0.01,3.2975999999999996,4.1739,0.6384,1.2408,1.1394,206,496.01,1.492
0.25,48.0,0.02,3.2066,4.1697,0.6455,1.2364,1.127,206,482.22,1.492
0.25,48.0,0.03,3.013,3.7217,0.6449,1.2284,1.1923,206,452.89,1.492
0.25,48.0,0.04,2.5174,3.5416,0.5608,1.2114,1.046,206,377.95,1.492
0.25,48.0,0.05,2.6505,3.5871,0.6652,1.2662,1.0861,206,398.06,1.492
0.25,48.0,0.06,2.3635,3.8616,0.6568,1.265,0.9004,206,354.7,1.492
0.25,48.0,0.07,2.1537,3.6943,0.6572,1.2609,0.8589,206,323.05,1.492
0.25,48.0,0.08,2.4072,3.0797,0.8304,1.3241,1.1524,206,361.3,1.492
